,Unnamed: 0,OBJECTID,DOCUMENT_NBR,CRASH_REPORT_LINK,CRASH_YR,CRASH_MONTH_YEAR,DISTRICT_NBR,NLFID,NLF_JUR_CD,NLF_COUNTY_CD,COUNTY_LOG_NBR,ODOT_LATITUDE_NBR,ODOT_LONGITUDE_NBR,ODOT_FIPS_CD,AREA_CODE,CRASH_DATE,CRASH_SEVERITY_CD,CRASH_TYPE_CD,DAY_IN_WEEK_CD,DISTRACTED_DRIVER_IND,FACILITY_TYPE_CD,FHWA_RDWY_DEPARTURE_IND,FREEWAY_IND,FUNCTIONAL_CLASS_CD,HOUR_OF_CRASH,INCAPAC_INJURIES_NBR,INTERCHANGE_ID,INTERSECTION_ID_CURRENT,INTERSECTION_LEG_ID,INTERSTATE_IND,INV_LOG_NBR,INV_NLFID,IS_COMMERCIAL_RELATED,LIGHT_COND_PRIMARY_CD,LOCAL_REPORT_NUMBER_ID,MAINTENANCE_AUTHORITY_CD,MONTH_OF_CRASH,NHS_CD,NO_INJURY_REPORTED_NBR,NON_INCAPAC_INJURIES_NBR,NUMBER_OF_UNITS_NBR,ODOT_CITY_VILLAGE_TWP_NME,ODOT_CRASH_LOCATION_CD,ODOT_DIR_FROM_REF_CD,ODOT_DIV_UNDIV_IND,ODOT_INTERSECTION_REL_IND,ODOT_LANES_NBR,ODOT_MAINTAINED_HWY_IND,ODOT_MILES_FROM_REF_NBR,ODOT_REF_ROUTE_PREFIX_CD,ODOT_YOUNG_DRIVER_IND,ODPS_ADDRESS_REFERENCE,ODPS_ALCOHOL_IND,ODPS_CITY_VILLAGE_TWP_NME,ODPS_DRUG_IND,ODPS_LOC_DIR_SUFFIX_CD,ODPS_LOC_IN_WORK_ZONE_CD,ODPS_LOC_ROAD_DIRECTION_CD,ODPS_LOC_ROAD_NME,ODPS_LOC_ROAD_SUFFIX_CD,ODPS_LOC_ROUTE_ID,ODPS_LOC_ROUTE_PREFIX_CD,ODPS_LOC_ROUTE_SUFFIX_CD,ODPS_MILEPOST_REFERENCE,ODPS_MOTORCYCLE_IND,ODPS_REF_DIR_SUFFIX_CD,ODPS_REF_DIRECTION_CD,ODPS_REF_GIVEN,ODPS_REF_POINT_USED_CD,ODPS_REF_ROUTE_ID,ODPS_REF_ROUTE_PREFIX_CD,ODPS_REF_ROUTE_SUFFIX_CD,ODPS_REF_SUFFIX_CD,ODPS_SCHOOL_ZONE_IND,ODPS_SENIOR_DRIVER_IND,ODPS_SPEED_IND,ODPS_TOTAL_FATALITIES_NBR,ODPS_TYPE_OF_WORK_ZONE_CD,ODPS_WORK_ZONE_IND,OPER_ACCESS_CONTROL_CD,POSSIBLE_INJURIES_NBR,ROAD_COND_PRIMARY_CD,ROAD_CONTOUR_CD,SA_RAMP_ID,SA_SEGMENT_ID,SECONDARY_CRASH,STATE_TRUE_LOG_NBR,U1_AGE_NBR,U1_AT_FAULT_IND,U1_CONT_CIR_PRIMARY_CD,U1_DIRECTION_FROM_CD,U1_DIRECTION_TO_CD,U1_DISTRACTED_BY_1_CD,U1_GENDER_CD,U1_IS_ALCOHOL_SUSPECTED,U1_IS_MARIJUANA_SUSPECTED,U1_IS_OTHER_DRUG_SUSPECTED,U1_NON_MOTORIST_LOC_CD,U1_NUMBER_OF_THRU_LANES,U1_OBJECT_STRUCK,U1_ODPS_UNIT_NBR,U1_OPERATINGIN_AUTONOMOUS_MODE,U1_POSTED_SPEED_NBR,U1_PRECRASH_ACTION_CD,U1_SEQ_OF_EVENTS_1_CD,U1_SEQ_OF_EVENTS_2_CD,U1_SEQ_OF_EVENTS_3_CD,U1_SEQ_OF_EVENTS_4_CD,U1_SEQ_OF_EVENTS_5_CD,U1_SEQ_OF_EVENTS_6_CD,U1_SPECIAL_FUNCTION_CD,U1_TRAFFIC_CONTROL_CD,U1_TURN_CD,U1_TYPE_OF_UNIT_CD,U1_UNIT_SPEED_NBR,U2_AGE_NBR,U2_CONT_CIR_PRIMARY_CD,U2_DIRECTION_FROM_CD,U2_DIRECTION_TO_CD,U2_DISTRACTED_BY_1_CD,U2_GENDER_CD,U2_NON_MOTORIST_LOC_CD,U2_ODPS_UNIT_NBR,U2_POSTED_SPEED_NBR,U2_PRECRASH_ACTION_CD,U2_SEQ_OF_EVENTS_1_CD,U2_SEQ_OF_EVENTS_2_CD,U2_SEQ_OF_EVENTS_3_CD,U2_SEQ_OF_EVENTS_4_CD,U2_SEQ_OF_EVENTS_5_CD,U2_SEQ_OF_EVENTS_6_CD,U2_SPECIAL_FUNCTION_CD,U2_TRAFFIC_CONTROL_CD,U2_TURN_CD,U2_TYPE_OF_UNIT_CD,U2_UNIT_SPEED_NBR,U3_CONT_CIR_PRIMARY_CD,U3_ODPS_UNIT_NBR,U3_PRECRASH_ACTION_CD,U3_SEQ_OF_EVENTS_1_CD,U3_SEQ_OF_EVENTS_2_CD,U3_SEQ_OF_EVENTS_3_CD,U3_SEQ_OF_EVENTS_4_CD,U3_SEQ_OF_EVENTS_5_CD,U3_SEQ_OF_EVENTS_6_CD,U3_SPECIAL_FUNCTION_CD,U3_TRAFFIC_CONTROL_CD,U3_TYPE_OF_UNIT_CD,UNRESTRAIN_OCCUPANTS,WEATHER_COND_CD,V1,Filter,fileNames,Narrative,clean_Narrative,Topic,Topic_num
311,839,196164705,20196164705,https://hsip.dot.state.oh.us/api/report/20196164705,2019,8/1/2019 0:00,6,MMARMR00102**C,M,MAR,0.379,40.579343,-83.116947,47754,99746.0,8/1/2019 0:00,Minor injury suspected,Pedalcycles,5,N,,N,N,Local roads,17,0,,,,N,0.379,MMARMR00102**C,N,Daylight,2019-04143,4,8,,1,1,2,MARION,Not an intersection,E,N,N,2.0,N,0.038,,N,625,N,MARION,N,,,,BRIGHTWOOD,DR,,,,,N,,,625TH,3,,,,,N,N,N,0,,N,,0,Dry,Straight level,,43728.0,N,0.379,0,Y,Improper passing,North,South,Other / unknown,U,N,N,N,Data not valid or not provided,2,Nothing struck,2,2,25,Overtaking/passing,Pedalcycle,,,,,,None,No control,No turn,Sport utility vehicle,0,40.0,1,1.0,2.0,1.0,F,7.0,1,25.0,11.0,20,,,,,,1.0,6.0,NT,26,5.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/196164705,at approximately 1759 u1 was travelling s/b on brightwood dr. at approximately 1800 u2 struck also travelling s/b on brightwood dr. u2 struck u1 while passing. u2 left the scene.,approximately travel s brightwood dr approximately strike travel s brightwood dr strike passing leave scene ,Traffic accidents near Lisbon ,Traffic accidents near Lisbon 
316,845,193194724,20193194724,https://hsip.dot.state.oh.us/api/report/20193194724,2019,9/1/2019 0:00,8,TGRETR00048**C,T,GRE,1.341,39.710835,-84.028785,4720,22528.0,9/16/2019 0:00,Serious injury suspected,Pedalcycles,2,N,,N,N,Major collector roads,18,1,,eb3ea465-9248-4fe9-99d7-4eedadbbf01b,521ab5c4-23b3-491f-b3a8-c19c43410182,N,1.341,TGRETR00048**C,N,Daylight,2019-00022817,4,9,,1,0,2,BEAVERCREEK,Not an intersection,S,N,N,2.0,N,0.014,,N,781,N,BEAVERCREEK,N,,,,FACTORY,RD,,,,,N,,,781ST,3,,,,,N,N,N,0,,N,,0,Dry,Straight level,,171289.0,N,1.341,60,Y,Failure to yield,West,East,,F,N,N,N,Intersection ? marked crosswalk,1,Nothing struck,1,2,0,Other non-motorist,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,10,52.0,1,2.0,1.0,1.0,F,,2,40.0,1.0,15,,,,,,1.0,6.0,NT,3,20.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/193194724,"no citations were issued in this crash because unit 1 suffered serious injuries, and there was only minor damage done to unit 2. i advised both units that unit 1 will still be listed as the at fault unit. both units stated they will attempt to work out an agreement on paying for the damage. unit 2 was traveling n/b on factory road in the 700 block crossing over the bike path. unit 1 (a bicyclist) was traveling e/b on the bike path and was crossing over factory road. unit 1 failed to yield the right of way to unit 2 and struck unit 2 in the left front.",citation issue crash suffer injury damage advise list fault state attempt work agreement pay damage travel factory road crossing bike path travel e bike path cross factory road fail yield right strike leave ,Bicycle Accident Cases,Bicycle Accident Cases
319,849,193209152,20193209152,https://hsip.dot.state.oh.us/api/report/20193209152,2019,10/1/2019 0:00,2,SLUCSR00025**N,S,LUC,7.211,41.630977,-83.566888,77000,87868.0,10/12/2019 0:00,Injury possible,Pedalcycles,7,N,Two-way roadway,N,N,Other principal arterial roads,16,0,,2ebc3743-3cd7-48e5-8b54-3055996c7694,07acc5b3-6fec-45f1-9058-9e1b1eb74c2e,N,7.21,SLUCSR00025**C,N,Daylight,1.9121E+13,4,10,H,1,0,2,TOLEDO,Not an intersection,E,Y,Y,6.0,N,0.002,MR,N,,N,TOLEDO,N,,,,ANTHONY WAYNE,TRL,,,,,N,,,SOUTH,1,,,,AVE,N,N,N,0,,N,2.0,1,Dry,Straight level,,183215.0,N,30.45,0,Y,Failure to yield,East,,Other / unknown,F,N,N,N,Data not valid or not provided,3,Nothing struck,2,0,35,Making righturn,Other movable object,,,,,,Other / unknown,Signal,Right turn,Sport utility vehicle,8,64.0,1,1.0,2.0,1.0,M,1.0,1,35.0,1.0,20,,,,,,1.0,2.0,NT,26,5.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/193209152,"unit #1 had the sign to walk across the cross walk and was traveling southbound on south when it was struck by unit #2. unit #2 was traveling westbound on south, was getting ready to merge northbound on the anthony wayne trail when they failed to yield, and struck unit #1. the driver of unit #1 stated the driver of unit #2 was a white female, 508, 140 lbs, brown hair and brown eyes. the driver of unit #1 stated unit #2 was a green suv, with gold trim, and a black carrier on the front. the driver of unit #1 stated unit # 2 got out apologized several times, gave him $5.00 and left the location traveling northbound on the anthony wayne trail. the driver of unit #1 stated his arm was sore, but he refused medical.", sign walk walk travel southbound strike travel westbound south get ready merge northbound trail fail yield strike state female lbs eye state suv trim state get apologize time give left location travel northbound trail state arm sore refuse medical ,Bicycle Accident Cases,Bicycle Accident Cases
320,851,193202146,20193202146,https://hsip.dot.state.oh.us/api/report/20193202146,2019,10/1/2019 0:00,3,CHURCR00712**C,C,HUR,0.768,41.242806,-82.614562,57302,99754.0,10/3/2019 0:00,Property damage only,Pedalcycles,5,N,,N,N,Local roads,6,0,,bab8aac7-5d6e-4505-afee-3ac8905cdd0d,74a1f53d-e6e0-4533-b498-e2ff326eba41,N,0.768,CHURCR00712**C,N,Dawn/dusk,2.019E+13,4,10,,2,0,2,NORWALK,Not an intersection,S,N,Y,2.0,N,0.002,SR,N,,N,NORWALK,N,,,S,LINWOOD,AVE,,,,,N,,E,MAIN,1,61,SR,,ST,N,N,N,0,,N,,0,Wet,Straight level,,34787.0,N,0.768,0,Y,Failure to yield,West,,,U,N,N,N,Intersection ? marked crosswalk,2,Nothing struck,2,2,25,Straight ahead,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,0,31.0,1,2.0,,1.0,F,,1,25.0,1.0,15,,,,,,1.0,2.0,,3,5.0,,,,,,,,,,,,,0,"Fog, smog, smoke",,Non_WZ_Non_CMV,2019/pdf/193202146,unit #1 was pulling through the crosswalk when a bicyclist failed to yield and ran into the driver's side of unit#1. the bicyclist left the scene before any personal information could be obtained., pull crosswalk bicyclist fail yield run driver bicyclist leave scene personal information obtain ,Stop and Turn Accidents Involving Bicycles,Stop and Turn Accidents Involving Bicycles
324,855,193190135,20193190135,https://hsip.dot.state.oh.us/api/report/20193190135,2019,9/1/2019 0:00,3,CRICCR00602**C,C,RIC,0.149,40.883493,-82.665928,72102,99768.0,9/17/2019 0:00,Minor injury suspected,Pedalcycles,3,N,,N,N,Major collector roads,15,0,,b4c60fa2-8db5-4c0a-a82b-a990d77f6bea,7fad0463-c96a-4a68-a789-06f8850a68a6,N,0.149,CRICCR00602**C,N,Daylight,19-17955,4,9,,1,1,2,SHELBY,Four-way intersection,,N,Y,2.0,N,0.0,MR,N,,N,SHELBY,N,,,,SHARON,ST,,,,,N,,,AUBURN,1,,,,AVE,N,N,N,0,,N,,0,Dry,Straight level,,42041.0,N,0.149,13,Y,Failure to yield,West,East,,F,N,N,N,Intersection ? unmarked crosswalk,2,Nothing struck,1,2,25,Straight ahead,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,5,48.0,1,2.0,1.0,1.0,F,,2,25.0,1.0,15,,,,,,1.0,6.0,NT,3,20.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/193190135,"unit #1 was eastbound on the sidewalk on the north side of auburn ave, failed to stop at the sharon st intersection and struck unit #2 which was northbound on sharon st. driver of unit #1 stated she never saw unit #2. unit #1 struck unit #2 on the driver side front fender. driver of unit #1 was thrown off the bicycle and complained of right should pain.driver of unit #2 stated she saw unit #1 but it was to late to stop, she applied the brakes and turned right in an attempt to avoid the crash.", eastbound sidewalk auburn ave fail stop st intersection strike northbound st state saw strike fender throw bicycle complain right paindriver state saw late stop apply brake turn right attempt avoid crash ,Bicycle Accident Cases,Bicycle Accident Cases
325,856,193216065,20193216065,https://hsip.dot.state.oh.us/api/report/20193216065,2019,10/1/2019 0:00,3,MLORMR00518**C,M,LOR,1.044,41.36751,-82.094835,25256,51364.0,10/18/2019 0:00,Property damage only,Pedalcycles,6,N,,N,N,Local roads,7,0,,886c61fb-9f13-4111-8491-b02812033922,b255b752-f821-4e14-bb77-0482eeaf15fb,N,1.044,MLORMR00518**C,N,Dark - lighted roadway,2019-00030431,4,10,,2,0,2,ELYRIA,Not an intersection,S,N,Y,2.0,N,0.001,CR,N,,N,ELYRIA,N,,,E,BROAD,ST,,,,,N,,,PARK,1,,,,AVE,N,N,N,0,,N,,0,Dry,Straight level,,93056.0,N,1.044,14,Y,Improper crossing,East,West,,M,N,N,N,Intersection ? marked crosswalk,1,Nothing struck,2,2,35,Straight ahead,Motor vehicle in transport,,,,,,None,Signal,No turn,Bicycle,0,48.0,1,2.0,3.0,1.0,F,,1,35.0,5.0,15,,,,,,1.0,2.0,RT,3,5.0,,,,,,,,,,,,,0,Cloudy,,Non_WZ_Non_CMV,2019/pdf/193216065,"unit #1 was nb on park ave, stopped under a red light. unit #1 began to make a right turn onto broad st, driving across the crosswalk, when unit #2 entered the crosswalk (wb) while riding a bicycle. unit #2 failed to stop prior to entering the crosswalk and continued riding into same. unit #1 front bumper struck unit #2 on the left side, causing the bicycle to fall over with rider on it. no injuries or damage reported.", nb ave stop red light begin right turn broad st drive crosswalk enter crosswalk ride bicycle fail stop prior enter crosswalk continue riding bumper strike leave cause bicycle fall injury damage report ,Stop and Turn Accidents Involving Bicycles,Stop and Turn Accidents Involving Bicycles
329,862,193192393,20193192393,https://hsip.dot.state.oh.us/api/report/20193192393,2019,9/1/2019 0:00,8,CHAMCR00674**C,C,HAM,2.673,39.140389,-84.48282,15000,16885.0,9/15/2019 0:00,Serious injury suspected,Pedalcycles,1,N,Two-way roadway,N,N,Minor arterial roads,15,1,,569dfe90-999e-48cc-b288-ac2bd5a6eb7f,49f9a036-985a-4b8f-9373-0283997a0dcd,N,2.673,CHAMCR00674**C,N,Daylight,195012733,4,9,,1,0,2,CINCINNATI,T-intersection,,Y,Y,4.0,N,0.0,,N,3240,N,CINCINNATI,N,,,,VICTORY,PKWY,,,,,N,,,3240TH,3,,,,,N,N,N,0,,N,,0,Dry,Straight level,,57271.0,N,2.673,48,Y,Ran stop sign,East,West,,M,N,N,N,Intersection ? other,4,Nothing struck,2,2,0,Entering traffic lane,Motor vehicle in transport,,,,,,None,Stop sign,No turn,Bicycle,0,,99,2.0,1.0,1.0,,,1,,99.0,15,,,,,,,6.0,NT,3,,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/193192393,unit #1 was traveling nb at 3240 victory pkwy. unit #2 was traveling wb on jonathan av. unit #2 failed to stop for the stop sign and was struck by unit #1.unit #1 failed to stop after the accident and was last seen north on victory pkwy., travel nb victory pkwy travel wb av fail stop stop sign strike fail stop accident see victory pkwy ,traffic fails at intersections,traffic fails at intersections
332,865,193192784,20193192784,https://hsip.dot.state.oh.us/api/report/20193192784,2019,9/1/2019 0:00,6,MFRAMR01517M*C,M,FRA,0.293,39.99487,-83.15251,18000,19234.0,9/20/2019 0:00,Injury possible,Pedalcycles,6,N,,N,N,Minor collector roads,19,0,,80f4c2b3-c985-4bd6-9d11-5cf6c5fbc023,3efd1405-6115-4126-bb42-71df13d78626,N,0.293,MFRAMR01517M*C,N,Dark - lighted roadway,190798301,4,9,,1,0,2,COLUMBUS,Four-way intersection,,N,Y,4.0,N,0.0,CR,Y,,N,COLUMBUS,N,,,,NIKE,DR,,,,,N,,,HILLIARD ROME,1,,,,RD,N,N,N,0,,N,,1,Dry,Straight level,,72342.0,N,0.293,46,N,None,East,North,,F,N,N,N,Data not valid or not provided,3,Nothing struck,1,0,45,Making righturn,Pedalcycle,,,,,,None,Signal,Right turn,Sport utility vehicle,2,17.0,1,2.0,1.0,1.0,M,1.0,2,45.0,1.0,20,,,,,,,2.0,NT,26,10.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/193192784,unit 1 was facing west at the light nike dr. and hilliard rome rd. unit 2 was northbound on hilliard rome rd on his bicycle crossing nike dr. unit 1 stated that she looked and it appeared that no one was coming and started into the intersection. unit 2 stated that he believed that he still had the numbers counting down and continued through the intersection. unit 1 stated that she struck unit 2 going about 2-3 mph. unit 2 stated that he was struck as he went through the intersection. cfd medic 26 arrived and no treatment was needed. officer was unable to find fault with either party and no independent witness was at scene., face nike dr rome rd northbound rome rd bicycle crossing nike dr state look appear come start intersection state believe count continued intersection state strike go mph state struck go intersection cfd medic arrive treatment need officer unable find fault party independent witness scene ,Bicycle Accident Cases,Bicycle Accident Cases
335,870,193184697,20193184697,https://hsip.dot.state.oh.us/api/report/20193184697,2019,9/1/2019 0:00,12,SCUYSR00010**C,S,CUY,3.618,41.419376,-81.913792,56882,17668.0,9/5/2019 0:00,Minor injury suspected,Pedalcycles,5,N,Two-way roadway,N,N,Other principal arterial roads,17,0,,f23855e1-ae3b-4972-a901-8a17d1c73578,58513127-cac4-4aa6-b13c-81be5a26b904,N,3.618,SCUYSR00010**C,N,Daylight,T77292,4,9,N,0,1,2,NORTH OLMSTED,T-intersection,,N,Y,4.0,N,0.0,,N,26261,N,NORTH OLMSTED,N,,,,,,10,,,,N,,,,3,,,,,N,N,N,0,,N,3.0,0,Dry,Straight level,,295699.0,N,10.529,42,N,None,,East,Other distraction outside the vehicle,M,N,N,N,Data not valid or not provided,4,Nothing struck,1,0,40,Making righturn,Pedalcycle,,,,,,None,Stop sign,Right turn,Sport utility vehicle,5,,16,3.0,4.0,,,3.0,2,40.0,12.0,15,,,,,,1.0,4.0,NT,26,5.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/193184697,"on 09-05-2019, unit #1 was attempting to make a right turn from brookpark rd, to head east bound on lorain rd. unit #2 was riding her bicycle against traffic on the side walk and into the marked cross walk. unit #1 stated that he stopped at the stop sign and after looking both ways, he accelerated and unit #2 crossed in front of his vehicle. unit #1 stated that he does not believe he struck unit #2. unit #1 stated he continued to drive to his destination and called the nopd to report the incident. nopd met with unit #1 to obtain a statement. r n r n unit #2 stated that she was riding her bicycle into the cross walk when unit #1 failed to stop at the stop sign and struck her ankle with his driver side front tire. no damages were sustained to the vehicle or the bicycle, but unit #2 sustained a minor injury to her left ankle. unit #2 was treated at the scene by the nofd. (reference report # 19-30600)", attempt right turn brookpark rd bind lorain rd ride bicycle traffic walk mark walk state stop stop sign look way accelerate cross vehicle state believe strike state continued drive destination call nopd report incident nopd meet obtain statement n state ride bicycle walk fail stop stop sign strike ankle tire damage sustain vehicle bicycle sustained injury leave ankle treat scene nofd ,Bicycle Accident Cases,Bicycle Accident Cases
338,886,195221580,20195221580,https://hsip.dot.state.oh.us/api/report/20195221580,2019,10/1/2019 0:00,6,CDELCR00123**C,C,DEL,3.707,40.215059,-83.062884,43106,99999.0,10/19/2019 0:00,Serious injury suspected,Pedalcycles,7,N,,Y,N,Minor arterial roads,18,1,,6f66c6fe-d649-4058-b4e0-87ccb0485999,61ef0194-82cd-4f83-8227-e65d74a81e1e,N,3.707,CDELCR00123**C,N,Daylight,21-1540-21,2,10,,1,0,2,LIBERTY TOWNSHIP,Not an intersection,W,N,N,2.0,N,0.3,SR,N,,N,LIBERTY TOWNSHIP,N,,,,,,123,CR,,,N,,,,1,315,SR,,,N,N,Y,0,,N,,0,Dry,Straight level,,22107.0,N,3.707,49,Y,Left of center,East,West,,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,2,50,Overtaking/passing,Cross centerline ? opposite direction of travel,Pedalcycle,,,,,None,No control,No turn,Sport utility vehicle,50,48.0,1,3.0,4.0,1.0,M,5.0,2,10.0,1.0,20,,,,,,1.0,6.0,NT,26,50.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/195221580,unit #1 and unit #2 were westbound on hyatts rd (cr 123). unit #1 drove left of center to pass unit #2 and struck unit #2. *** supplemented*** oh3 was unable to be obtained, westbound hyatt rd drive leave center pass strike supplement unable obtain,Road Travel Fails,Road Travel Fails
339,887,195226712,20195226712,https://hsip.dot.state.oh.us/api/report/20195226712,2019,10/1/2019 0:00,4,STRUSR00305**C,S,TRU,7.271,41.308387,-80.876815,13470,99999.0,10/28/2019 0:00,Minor injury suspected,Pedalcycles,2,N,Two-way roadway,N,N,Major collector roads,17,0,,,,N,7.271,STRUSR00305**C,N,Daylight,78-0980-78,1,10,,1,1,2,CHAMPION TOWNSHIP,Not an intersection,E,N,N,2.0,Y,0.3,,Y,,N,CHAMPION TOWNSHIP,N,,,,,,305,SR,,7.0,N,,,7,2,,,,,N,Y,N,0,,N,3.0,0,Dry,Straight level,,194825.0,N,14.631,85,Y,Following too close/acda,East,West,,M,N,N,N,Data not valid or not provided,2,Nothing struck,1,0,55,Straight ahead,Pedalcycle,,,,,,None,No control,No turn,Sport utility vehicle,40,21.0,1,3.0,4.0,1.0,F,7.0,2,55.0,1.0,20,1.0,,,,,1.0,6.0,NT,26,10.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/195226712,"unit 1 was westbound on sr 305. unit 2 was westbound on sr 305 on the shoulder. unit 1 traveled onto the north shoulder and struck unit 2, causing unit 2 to travel off the right side of the road, overturn, and eject the rider. unit 1 then fled the scene.", westbound sr westbound sr shoulder travel shoulder strike cause travel right road overturn eject rider flee scene ,Road Travel Fails,Road Travel Fails
340,888,196178517,20196178517,https://hsip.dot.state.oh.us/api/report/20196178517,2019,9/1/2019 0:00,5,CLICCR00125**C,C,LIC,2.99,40.078437,-82.428217,54040,61705.0,9/1/2019 0:00,Minor injury suspected,Pedalcycles,1,N,,N,N,Other principal arterial roads,22,0,,64457347-088a-447f-8a47-a08741850850,a9c16dae-326c-4161-a70d-183e61f8f347,N,2.99,CLICCR00125**C,N,Dark - roadway not lighted,19-27090,4,9,N,2,1,2,NEWARK,Not an intersection,,N,N,4.0,N,0.0,,Y,1091,N,NEWARK,N,,,N,21st,ST,,,,,N,,N,1091ST,3,,,,,N,N,N,0,,N,,0,Wet,Straight level,,64370.0,N,2.99,24,Y,Other improper action,North,South,,M,N,N,N,Shoulder / roadside,5,Nothing struck,1,2,35,Straight ahead,Motor vehicle in transport,,,,,,None,No control,No turn,Bicycle,5,16.0,1,1.0,2.0,1.0,M,,2,35.0,1.0,15,,,,,,1.0,6.0,NT,3,30.0,,,,,,,,,,,,,0,Rain,,Non_WZ_Non_CMV,2019/pdf/196178517,unit 1 was traveling southbound on 21st st when they were struck by unit 2 traveling southbound as well. unit 2 didn't see the bicycle do to the fact there were no lights or reflectors on the bicycle. also it had been raining and that particular section of 21st st. is very dark do to the lack of street lights. the male on the bike was transported to lmh with a small cut to his head and a swollen ankle., travel southbound st strike travel southbound bicycle fact light reflector bicycle rain particular section st dark lack light male bike transport lmh cut swollen ankle ,Bicycle Accidents and Injuries,Bicycle Accidents and Injuries
341,889,196184068,20196184068,https://hsip.dot.state.oh.us/api/report/20196184068,2019,9/1/2019 0:00,5,,M,FAI,,39.729878,-82.614654,41720,,9/11/2019 0:00,Minor injury suspected,Pedalcycles,4,N,Two-way roadway,N,N,,9,0,,,,N,,,N,Daylight,19-07732,80,9,,1,1,2,LANCASTER,Four-way intersection,,N,Y,5.0,N,0.0,,N,1621,N,LANCASTER,N,,,N,MEMORIAL,DR,,,,,N,,,1621ST,3,,,,,N,N,N,0,,N,,0,Dry,Straight grade,,,N,,53,Y,Other improper action,East,West,,M,N,N,N,Intersection ? other,5,Nothing struck,1,2,35,Straight ahead,Motor vehicle in transport,,,,,,None,Signal,No turn,Bicycle,3,42.0,1,2.0,3.0,1.0,F,,2,35.0,5.0,15,,,,,,1.0,2.0,RT,3,5.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/196184068,unit 1 was ridding a bicycle in a north west direction on n. memorial drive on the left side of the roadway. unit 2 was exiting a privat lot and attempting to make a right turn onto n. memorial drive. witness on the opposite side of the street was making a left turn to travel south onto memorial drive and had a green light. memorial drive traffic was all stopped on a red light. unit 2 made a right turn as unit 1 crossed its path on the wrong side of the street. the front of unit 2 collided with the left side of unit 1 causing damage., rid bicycle direction n memorial drive leave roadway exiting privat lot attempt right turn n memorial drive witness opposite make left turn travel memorial drive light memorial drive traffic stop red light right turn cross path wrong street collide leave cause damage ,Stop and Turn Accidents Involving Bicycles,Stop and Turn Accidents Involving Bicycles
342,890,196188863,20196188863,https://hsip.dot.state.oh.us/api/report/20196188863,2019,9/1/2019 0:00,12,SGEASR00306**C,S,GEA,1.51,41.36949,-81.339059,3590,17668.0,9/14/2019 0:00,Minor injury suspected,Pedalcycles,7,N,Two-way roadway,N,N,Other principal arterial roads,12,0,,310f62f7-99d9-44de-b96e-84be013d891a,c978225d-fc06-4600-a6de-f669e359cada,N,1.51,SGEASR00306**C,N,Daylight,19-10662,1,9,,1,1,2,BAINBRIDGE TOWNSHIP,Not an intersection,,N,Y,2.0,Y,0.0,TR,Y,,N,BAINBRIDGE TOWNSHIP,N,,,,,,306,SR,,,N,,,TAYLOR MAY,1,,,,RD,N,N,N,0,,N,3.0,0,Dry,Straight level,,297995.0,N,3.991,23,Y,Following too close/acda,South,North,,M,N,N,N,Shoulder / roadside,2,Ditch,2,2,45,Straight ahead,Motor vehicle in transport,Overturn/rollover,Ditch,,,,None,Signal,No turn,Bicycle,20,54.0,1,2.0,3.0,1.0,F,,1,45.0,5.0,15,,,,,,1.0,2.0,RT,3,10.0,,,,,,,,,,,,,0,Clear,,Non_WZ_Non_CMV,2019/pdf/196188863,unit#1 was traveling n/b on s.r. 306 making a right turn onto taylor may rd. while unit#2 was traveling n/b on s.r. 306 behind unit#1. unit#2 fail to keep assured cleared distance ahead before striking unit#1 on the passenger side., travel sr make right turn rd travel sr fail assure clear distance ahead strike passenger ,Road Travel Fails,Road Travel Fails
